experiment,domain,vector_method,pair_label,condition,gate_pass_rate,cosine_deletion_rate,mean_b_anchor,mean_a_anchor,low_gate_warning
exp4,kinship,mean,arb→zho,vector_zho_Hant,0.122222,0.727273,0.363305,0.380033,low_gate
exp4,kinship,mean,eng→zho,vector_zho_Hant,0.044444,1.000000,0.375165,0.368279,low_gate
exp4,kinship,mean,spa→zho,vector_zho_Hant,0.077778,1.000000,0.392280,0.366116,low_gate
exp4,kinship,mean,zho→zho,vector_zho_Hant,0.033333,0.333333,0.364804,0.360573,low_gate
exp4,kinship,pca,arb→zho,vector_arb_Arab,0.122222,0.454545,0.363305,0.379213,low_gate
exp4,kinship,pca,eng→zho,vector_arb_Arab,0.044444,0.250000,0.375165,0.362547,low_gate
exp4,kinship,pca,spa→zho,vector_arb_Arab,0.077778,0.857143,0.392280,0.370728,low_gate
exp4,kinship,pca,zho→zho,vector_arb_Arab,0.033333,0.000000,0.364804,0.364400,low_gate
exp4,kinship,pca,arb→zho,vector_eng_Latn,0.122222,0.181818,0.363305,0.371991,low_gate
exp4,kinship,pca,eng→zho,vector_eng_Latn,0.044444,0.250000,0.375165,0.372175,low_gate
exp4,kinship,pca,spa→zho,vector_eng_Latn,0.077778,0.428571,0.392280,0.386451,low_gate
exp4,kinship,pca,zho→zho,vector_eng_Latn,0.033333,0.000000,0.364804,0.363686,low_gate
exp4,kinship,pca,arb→zho,vector_spa_Latn,0.122222,0.272727,0.363305,0.357821,low_gate
exp4,kinship,pca,eng→zho,vector_spa_Latn,0.044444,0.250000,0.375165,0.374476,low_gate
exp4,kinship,pca,spa→zho,vector_spa_Latn,0.077778,0.000000,0.392280,0.390849,low_gate
exp4,kinship,pca,zho→zho,vector_spa_Latn,0.033333,0.000000,0.364804,0.363880,low_gate
exp4,kinship,pca,arb→zho,vector_zho_Hant,0.122222,0.000000,0.363305,0.367769,low_gate
exp4,kinship,pca,eng→zho,vector_zho_Hant,0.044444,0.250000,0.375165,0.360873,low_gate
exp4,kinship,pca,spa→zho,vector_zho_Hant,0.077778,0.857143,0.392280,0.376431,low_gate
exp4,kinship,pca,zho→zho,vector_zho_Hant,0.033333,0.000000,0.364804,0.364448,low_gate
exp4,sacred,mean,arb→zho,vector_arb_Arab,0.000000,nan,0.340721,0.343630,low_gate
exp4,sacred,mean,eng→zho,vector_arb_Arab,0.000000,nan,0.369768,0.377071,low_gate
exp4,sacred,mean,spa→zho,vector_arb_Arab,0.000000,nan,0.343106,0.344179,low_gate
exp4,sacred,mean,zho→zho,vector_arb_Arab,0.000000,nan,0.371488,0.360370,low_gate
exp4,sacred,mean,arb→zho,vector_eng_Latn,0.000000,nan,0.340721,0.347239,low_gate
exp4,sacred,mean,eng→zho,vector_eng_Latn,0.000000,nan,0.369768,0.380256,low_gate
exp4,sacred,mean,spa→zho,vector_eng_Latn,0.000000,nan,0.343106,0.355187,low_gate
exp4,sacred,mean,zho→zho,vector_eng_Latn,0.000000,nan,0.371488,0.348899,low_gate
exp4,sacred,mean,arb→zho,vector_spa_Latn,0.000000,nan,0.340721,0.342125,low_gate
exp4,sacred,mean,eng→zho,vector_spa_Latn,0.000000,nan,0.369768,0.366739,low_gate
exp4,sacred,mean,spa→zho,vector_spa_Latn,0.000000,nan,0.343106,0.337372,low_gate
exp4,sacred,mean,zho→zho,vector_spa_Latn,0.000000,nan,0.371488,0.356685,low_gate
exp4,sacred,mean,arb→zho,vector_zho_Hant,0.000000,nan,0.340721,0.345616,low_gate
exp4,sacred,mean,eng→zho,vector_zho_Hant,0.000000,nan,0.369768,0.389072,low_gate
exp4,sacred,mean,spa→zho,vector_zho_Hant,0.000000,nan,0.343106,0.370247,low_gate
exp4,sacred,mean,zho→zho,vector_zho_Hant,0.000000,nan,0.371488,0.357436,low_gate
exp4,sacred,pca,arb→zho,vector_arb_Arab,0.000000,nan,0.340721,0.338554,low_gate
exp4,sacred,pca,eng→zho,vector_arb_Arab,0.000000,nan,0.369768,0.372422,low_gate
exp4,sacred,pca,spa→zho,vector_arb_Arab,0.000000,nan,0.343106,0.338464,low_gate
exp4,sacred,pca,zho→zho,vector_arb_Arab,0.000000,nan,0.371488,0.373187,low_gate
exp4,sacred,pca,arb→zho,vector_eng_Latn,0.000000,nan,0.340721,0.348291,low_gate
exp4,sacred,pca,eng→zho,vector_eng_Latn,0.000000,nan,0.369768,0.369293,low_gate
exp4,sacred,pca,spa→zho,vector_eng_Latn,0.000000,nan,0.343106,0.348620,low_gate
exp4,sacred,pca,zho→zho,vector_eng_Latn,0.000000,nan,0.371488,0.374185,low_gate
exp4,sacred,pca,arb→zho,vector_spa_Latn,0.000000,nan,0.340721,0.333776,low_gate
